NO,프로젝트 정보,,,,,,,,,행사 정보,,,
,PM 프로필,,프로젝트명,연도,행사시작일,행사종료일,발주처,행사분류,산업분류,주최기관,주관기관,사업개요,연관어
43,공간 사업부,놀이터사업팀,위례 포레나송파 서울형키즈카페 공사,2025,"2024-12-12, 2025-02-28","2025-04-27, 2025-04-07",하하호호놀이터 포레나송파,공간사업(놀이터),건설/건축/인테리어,송파구,송파구,,
44,E&E 사업부,이벤트&엑스포 2팀,2025 대한민국 수산대전 - 찾아가는 직거래 장터,2025,2025-04-09,2025-04-09,한국수산회,프로모션,농수축산/식음료,해양수산부(MOF),한국수산회,‘찾아가는 직거래 장터’ 개최를 통한 소비자와 생산자 간 직거래 활성화로 생산자 판로 확대 및 어업인 수익성 증대 및 체험 행사 등을 통한 소비자 참여 유도 및 국산 수산물 소비 촉진,#수산물 #수산물판매촉진 #수산물유통 #직거래장터 
45,공간 사업부,놀이터사업팀,로얄새들승마클럽하우스 사무실 철거 용역,2025,2025-03-12,2025-03-31,한화넥스트,공간사업(놀이터),건설/건축/인테리어,한화넥스트,한화넥스트,"주거지 내에 조성되어 영유아가 안전하게 이용하며, 다양한 신체활동을 일상처럼 경험할 수 있는 퍼스널 놀이터",#실내놀이터
46,컨벤션 사업부,컨벤션 4팀,Korea Builder Summit,2025,2025-03-19,2025-03-19,앤트로픽,기업회의,전자/정보통신/방송장비/스마트,앤트로픽,앤트로픽,"대화형 AI 시스템인 Claude 를 개발한 앤트로픽의 한국 최초 개최하는 공식 행사. 한국의 AI 개발자, 기술 리더가 모여 AI 기술의 현재와 미래를 논의하는 장. ",# AI #Anthropic  #Claude #Coxwave
47,공간 사업부,놀이터사업팀,중랑실내놀이터 양원점 소방관련 시설보수공사,2025,2024-12-23,2025-02-14,커넥팅더닷츠 주식회사,공간사업(놀이터),건설/건축/인테리어,중랑구,중랑구,,
48,공간 사업부,놀이터사업팀,은평구 서울형 키즈카페 2호점 놀이공간 조성공사 중 놀이기구설치공사,2025,2024-11-08,2025-02-05,(주)디앤에스종합건설,공간사업(놀이터),건설/건축/인테리어,은평구,은평구,,
49,공간 사업부,놀이터사업팀,서울형 키즈카페 노리몽땅 장충점 조성공사 설계용역,2025,2024-11-26,2025-01-18,JP건축사사무소,공간사업(놀이터),건설/건축/인테리어,중구,중구,,
50,컨벤션 사업부,컨벤션 2팀,제9회 세계태양광총회(WCPEC-9) 사전 홍보,2024,2024-07-15,2024-12-31,한국태양광발전학회(KPVS),기타,에너지/환경,대전광역시,한국태양광발전학회(KPVS),,
51,공간 사업부,놀이터사업팀,"서울형 키즈카페 도봉구 도봉2동 2호점 놀이공간 설계 및 기구 제작, 설치",2024,2024-03-25,2024-12-13,도봉구,공간사업(놀이터),건설/건축/인테리어,도봉구,도봉구,,
52,공간 사업부,놀이터사업팀,서울형 키즈카페 3호점 놀이공간 조성공사,2024,2024-11-04,2024-12-10,(주)다승,공간사업(놀이터),건설/건축/인테리어,은평구,은평구,,
53,E&E 사업부,전시 2팀,2024 순환경제 페스티벌,2024,2024-12-04,2024-12-06,한국생산기술연구원(KITECH),"비즈니스 행사, 전시, 전시홍보관",에너지/환경,산업통상자원부(MOTIE),"한국산업연합포럼(KIAF), 한국생산기술연구원(KITECH)",,
54,공간 사업부,놀이터사업팀,서울형 키즈카페 노리몽땅 신당점 조성공사 설계용역,2024,2024-12-01,2024-11-30,중구,공간사업(놀이터),건설/건축/인테리어,중구,중구,,
55,공간 사업부,놀이터사업팀,"도봉구 서울형 키즈카페(창3동점) 놀이공간 설계 및 기구 제작, 설치",2024,2023-10-10,2024-11-29,도봉구,공간사업(놀이터),건설/건축/인테리어,도봉구,도봉구,,
56,컨벤션 사업부,컨벤션 1팀,2024 콘텐츠 IP 마켓,2024,2024-11-19,2024-11-21,한국콘텐츠진흥원(KOCCA),"비즈니스 행사, 전시",문화/예술/디자인/콘텐츠/영상/광고,문화체육관광부(MCST),한국콘텐츠진흥원(KOCCA),,
57,E&E 사업부,이벤트&엑스포 1팀,2024 대한민국 정부 박람회,2024,2024-11-13,2024-11-15,행정안전부(MOIS),"전시, 전시홍보관, 이벤트",기타,"행정안전부(MOIS), 디지털플랫폼정부위원회",행정안전부(MOIS),,
58,E&E 사업부,이벤트&엑스포 1팀,2024 디지털플랫폼정부 박람회,2024,2024-11-13,2024-11-15,디지털플랫폼정부위원회,"전시, 전시홍보관, 이벤트",기타,"행정안전부(MOIS), 디지털플랫폼정부위원회",행정안전부(MOIS),,
59,스마트플랫폼사업본부,플랫폼 프로젝트팀,2024 방송영상제작사 해외홍보행사 위탁용역,2024,"2024-11-12, 2024-11-07, 2024-09-24","2024-11-13, 2024-11-08, 2024-09-25",한국콘텐츠진흥원(KOCCA),비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,한국콘텐츠진흥원(KOCCA),한국콘텐츠진흥원(KOCCA),,
60,E&E 사업부,전시 1팀,2024 대한민국 농업박람회 및 농업인의날 기념식,2024,"2024-09-05, 2024-11-11","2024-09-08, 2024-11-11",농림수산식품교육문화정보원(EPIS),"전시, 전시홍보관",농수축산/식음료,농림축산식품부(MAFRA),농림수산식품교육문화정보원(EPIS),,
61,컨벤션 사업부,컨벤션 3팀,BIXPO 2024,2024,2024-11-06,2024-11-08,한국전력공사(KEPCO),"국제회의, 비즈니스 행사, 전시, 전시홍보관, 이벤트",에너지/환경,한국전력공사(KEPCO),한국전력공사(KEPCO),,
62,공간 사업부,놀이터사업팀,"강릉시 유천 공공형 실내 놀이터 및 시간제보육실 설계 및 기구 제작, 설치",2024,2024-04-29,2024-11-04,강릉시,공간사업(놀이터),건설/건축/인테리어,강릉시,강릉시,,
63,컨벤션 사업부,컨벤션 2팀,제17차 한-중앙아 협력 포럼,2024,2024-11-04,2024-11-04,외교부(MOFA),국제회의,정책/행정/국방/소방/안전,외교부(MOFA),외교부(MOFA),,
64,E&E 사업부,이벤트&엑스포 1팀,2024 글로벌 콘텐츠 페스티벌 in 순천,2024,2024-11-02,2024-11-03,순천시,"비즈니스 행사, 전시, 이벤트",문화/예술/디자인/콘텐츠/영상/광고,순천시,순천시,,
65,스마트플랫폼사업본부,프로젝트팀,SPP 국제콘텐츠마켓 2024,2024,2024-10-23,2024-10-24,서울경제진흥원,비즈니스 행사,문화/예술/디자인/콘텐츠/영상/광고,서울경제진흥원,서울경제진흥원,,
66,컨벤션 사업부,컨벤션 1팀,제25차 3국 환경장관회의(TEMM25),2024,2024-09-27,2024-09-29,환경부(ME),국제회의,에너지/환경,환경부(ME),환경부(ME),,
67,컨벤션 사업부,컨벤션 2팀,제10차 건강도시연맹 세계총회,2024,2024-09-25,2024-09-27,서울특별시,"국제회의, 전시, 전시홍보관",인문/사회/경제/역사/법/남북,건강도시연맹(AFHC),서울특별시,,
68,E&E 사업부,이벤트&엑스포 1팀,2024년 상생할인 지원사업 온누리 상품권 환급행사,2024,2024-02-01,2024-09-15,한국수산회,이벤트,농수축산/식음료,한국수산회,한국수산회,,
69,컨벤션 사업부,컨벤션 3팀,제2차 인공지능의 군사적 이용에 관한 고위급 회의 (2024 REAIM 고위급회의),2024,2024-09-09,2024-09-10,외교부(MOFA),국제회의,정책/행정/국방/소방/안전,"외교부(MOFA), 국방부(MND)","외교부(MOFA), 국방부(MND)",,
70,E&E 사업부,이벤트&엑스포 2팀,2024 월드 스마트시티 엑스포,2024,2024-09-03,2024-09-05,킨텍스(KINTEX),"국제회의, 학술회의, 비즈니스 행사, 전시, 엑스포, 이벤트",과학/기술서비스,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH), 스마트도시협회",,
71,E&E 사업부,이벤트&엑스포 2팀,2024 월드 스마트시티 엑스포,2024,2024-09-03,2024-09-05,한국수자원공사(K-water),"국제회의, 학술회의, 비즈니스 행사, 전시, 엑스포, 이벤트",과학/기술서비스,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH), 스마트도시협회",,
72,E&E 사업부,이벤트&엑스포 2팀,2024 월드 스마트시티 엑스포,2024,2024-09-03,2024-09-05,한국토지주택공사(LH),"국제회의, 학술회의, 비즈니스 행사, 전시, 엑스포, 이벤트",과학/기술서비스,"과학기술정보통신부(MSIT), 국토교통부(MOLIT)","킨텍스(KINTEX), 한국수자원공사(K-water), 한국토지주택공사(LH), 스마트도시협회",,
